CUSTOMERNAME,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Recency,ORDERNUMBER [Binned],SALES [Binned],Recency [Binned],RECENCY,FREQUENCY,MONETARY,Concatenate
Auto-Moto Classics Inc.,8,35.875,92.8,2,3309.9075,8,2281.75,8,8,87.375,8,8,8,Brickhaven,8,USA,Taylor,Leslie,8,181,Bin 1,Bin 1,Bin 2,3,1,1,"3, 1, 1"
Baane Mini Imports,32,33.8125,108.57375,6.34375,3643.72468749999,32,1805.75,32,32,107.46875,32,32,32,Stavern,32,Norway,Bergulfsen,Jonas,32,209,Bin 3,Bin 3,Bin 3,2,3,3,"2, 3, 3"
"Bavarian Collectables Imports, Co.",14,28.6428571428571,84.2892857142857,7.5,2499.56571428571,14,2239.35714285714,14,14,82.7142857142857,14,14,14,Munich,14,Germany,Donnermeyer,Michael,14,260,Bin 1,Bin 1,Bin 4,1,1,1,"1, 1, 1"
"Blauer See Auto, Co.",22,36.8636363636363,108.031363636363,3.86363636363636,3871.4359090909,22,1697.31818181818,22,22,105.818181818181,22,22,22,Frankfurt,22,Germany,Keitel,Roland,22,209,Bin 2,Bin 4,Bin 3,2,2,4,"2, 2, 4"
Boards & Toys Co.,3,34,89.8066666666666,1.33333333333333,3043.11666666666,3,1968.66666666666,3,3,92.3333333333333,3,3,3,Glendale,3,USA,Young,Leslie,3,114,Bin 1,Bin 1,Bin 2,3,1,1,"3, 1, 1"
CAF Imports,13,36,104.963076923076,5.3076923076923,3818.61923076923,13,2273,13,13,106.923076923076,13,13,13,Madrid,13,Spain,Fernandez,Jesus,13,440,Bin 1,Bin 4,Bin 4,1,1,4,"1, 1, 4"
Cambridge Collectables Co.,11,32.4545454545454,101.32909090909,3.27272727272727,3287.60181818181,11,1788.18181818181,11,11,97.3636363636363,11,11,11,Cambridge,11,USA,Tseng,Kyung,11,390,Bin 1,Bin 1,Bin 4,1,1,1,"1, 1, 1"
Canadian Gift Exchange Network,22,31.9545454545454,105.340909090909,5.99999999999999,3419.9509090909,22,1620.04545454545,22,22,106.40909090909,22,22,22,Vancouver,22,Canada,Tannamuri,Yoshi,22,223,Bin 2,Bin 2,Bin 3,2,2,2,"2, 2, 2"
"Classic Gift Ideas, Inc",21,31.8095238095238,103.320476190476,5.85714285714285,3214.61761904761,21,1668.09523809523,21,21,102.47619047619,21,21,21,Philadelphia,21,USA,Cervantes,Francisca,21,231,Bin 2,Bin 1,Bin 3,2,2,1,"2, 2, 1"
Classic Legends Inc.,20,35.9999999999999,109.8035,4.05,3889.75999999999,20,1931.6,20,20,106.65,20,20,20,NYC,20,USA,Hernandez,Maria,20,193,Bin 1,Bin 4,Bin 3,2,1,4,"2, 1, 4"
"Clover Collections, Co.",16,30.625,112.87,4.56249999999999,3609.77687499999,16,1939.06249999999,16,16,106.874999999999,16,16,16,Dublin,16,Ireland,Cassidy,Dean,16,259,Bin 1,Bin 3,Bin 4,1,1,3,"1, 1, 3"
Collectable Mini Designs Co.,25,38.1599999999999,91.5347999999999,7.95999999999999,3499.56919999999,25,2182.12,25,25,93.12,25,25,25,San Diego,25,USA,Thompson,Valarie,25,461,Bin 2,Bin 2,Bin 4,1,2,2,"1, 2, 2"
Collectables For Less Inc.,24,33.125,97.2370833333333,4.875,3399.08249999999,24,1546.12499999999,24,24,99.4583333333333,24,24,24,Brickhaven,24,USA,Nelson,Allen,24,133,Bin 2,Bin 2,Bin 2,3,2,2,"3, 2, 2"
"Corrida Auto Replicas, Ltd",32,36.34375,105.174999999999,6.78124999999999,3769.22749999999,32,1761.15625,32,32,102.625,32,32,32,Madrid,32,Spain,Sommer,Mart¡n,32,213,Bin 3,Bin 3,Bin 3,2,3,3,"2, 3, 3"
Cruz & Sons Co.,26,36.9615384615384,96.08,6.42307692307692,3615.98961538461,26,2080,26,26,97.9615384615384,26,26,26,Makati City,26,Philippines,Cruz,Arnold,26,198,Bin 2,Bin 3,Bin 3,2,2,3,"2, 2, 3"
Daedalus Designs Imports,20,34.9499999999999,95.4739999999999,6.29999999999999,3452.62049999999,20,1875.6,20,20,94.4999999999999,20,20,20,Lille,20,France,Rance,Martine,20,466,Bin 1,Bin 2,Bin 4,1,1,2,"1, 1, 2"
Danish Wholesale Imports,36,36.5277777777777,108.037777777777,5.58333333333333,4028.93333333333,36,1924.80555555555,36,36,106.416666666666,36,36,36,Kobenhavn,36,Denmark,Petersen,Jytte,36,47,Bin 4,Bin 4,Bin 1,4,4,4,"4, 4, 4"
Diecast Classics Inc.,31,35.8387096774193,108.565806451612,5.61290322580645,3939.94,31,1378.6129032258,31,31,106.58064516129,31,31,31,Allentown,31,USA,Yu,Kyung,31,2,Bin 3,Bin 4,Bin 1,4,3,4,"4, 3, 4"
Diecast Collectables,18,38.6111111111111,101.783333333333,7.72222222222222,3936.65444444444,18,1836.05555555555,18,18,103.722222222222,18,18,18,Boston,18,USA,Franco,Valarie,18,402,Bin 1,Bin 4,Bin 4,1,1,4,"1, 1, 4"
"Double Decker Gift Stores, Ltd",12,29.7499999999999,99.1083333333333,4.25,3001.58666666666,12,2014.58333333333,12,12,93.2499999999999,12,12,12,London,12,UK,Hardy,Thomas,12,496,Bin 1,Bin 1,Bin 4,1,1,1,"1, 1, 1"
"Dragon Souveniers, Ltd.",43,35.4418604651163,113.105581395348,7.37209302325581,4023.01581395348,43,1840.53488372093,43,43,113.441860465116,43,43,43,Singapore,43,Singapore,Natividad,Eric,43,91,Bin 4,Bin 4,Bin 2,3,4,4,"3, 4, 4"
Enaco Distributors,23,38.3478260869565,88.7834782608695,6.17391304347826,3409.21130434782,23,2483.91304347826,23,23,87.0869565217391,23,23,23,Barcelona,23,Spain,Saavedra,Eduardo,23,190,Bin 2,Bin 2,Bin 3,2,2,2,"2, 2, 2"
Euro Shopping Channel,259,36.0115830115829,97.3832046332046,6.42471042471042,3522.37108108108,259,1791.09266409266,259,259,97.015444015444,259,259,259,Madrid,259,Spain,Freyre,Diego,259,1,Bin 4,Bin 2,Bin 1,4,4,2,"4, 4, 2"
FunGiftIdeas.com,26,34.7307692307692,109.586505016722,6.23076923076922,3804.75884615384,26,1448.57692307692,26,26,107.999999999999,26,26,26,New Bedford,26,USA,Benitez,Violeta,26,90,Bin 2,Bin 3,Bin 2,3,2,3,"3, 2, 3"
Gift Depot Inc.,25,36.12,108.932399999999,4.92,4075.79159999999,25,1489.35999999999,25,25,110.92,25,25,25,Bridgewater,25,USA,King,Julie,25,27,Bin 2,Bin 4,Bin 1,4,2,4,"4, 2, 4"
Gift Ideas Corp.,19,35.0526315789473,87.5999999999999,4.42105263157894,3015.49578947368,19,2419.8947368421,19,19,86.5263157894737,19,19,19,Glendale,19,USA,Lewis,Dan,19,180,Bin 1,Bin 1,Bin 2,3,1,1,"3, 1, 1"
Gifts4AllAges.com,26,35.8846153846153,91.5638461538461,5.69230769230769,3200.38,26,1979.92307692307,26,26,90.7307692307692,26,26,26,Boston,26,USA,Yoshido,Juri,26,26,Bin 2,Bin 1,Bin 1,4,2,1,"4, 2, 1"
Handji Gifts& Co,36,34.3333333333333,95.5927777777778,6.30555555555555,3208.29805555555,36,1642.83333333333,36,36,97.2222222222222,36,36,36,Singapore,36,Singapore,Victorino,Wendy,36,39,Bin 4,Bin 1,Bin 1,4,4,1,"4, 4, 1"
Heintze Collectables,27,32.6666666666666,112.268148148148,7.33333333333333,3725.7611111111,27,1648.29629629629,27,27,110.925925925925,27,27,27,Aaarhus,27,Denmark,Ibsen,Palle,27,223,Bin 3,Bin 3,Bin 3,2,3,3,"2, 3, 3"
Herkku Gifts,29,33.551724137931,113.558620689655,6.86206896551724,3849.6648275862,29,1460.68965517241,29,29,109.758620689655,29,29,29,Bergen,29,Norway,Oeztan,Veysel,29,272,Bin 3,Bin 4,Bin 4,1,3,4,"1, 3, 4"
"Iberia Gift Imports, Corp.",15,39.2666666666666,93.2826666666666,6.26666666666666,3648.24133333333,15,1948.2,15,15,93.1333333333333,15,15,15,Sevilla,15,Spain,Roel,Jose Pedro,15,239,Bin 1,Bin 3,Bin 4,1,1,3,"1, 1, 3"
L'ordine Souveniers,39,32.8205128205128,111.147435897435,7.17948717948717,3656.44435897435,39,1664.05128205128,39,39,107.794871794871,39,39,39,Reggio Emilia,39,Italy,Moroni,Maurizio,39,22,Bin 4,Bin 3,Bin 1,4,4,3,"4, 4, 3"
"La Corne D'abondance, Co.",23,36.3478260869565,113.650434782608,5.82608695652174,4226.24695652174,23,1728.39130434782,23,23,112.826086956521,23,23,23,Paris,23,France,Bertrand,Marie,23,194,Bin 2,Bin 4,Bin 3,2,2,4,"2, 2, 4"
La Rochelle Gifts,53,34.566037735849,97.0463975427819,7.73584905660377,3398.58301886792,53,1828.43396226415,53,53,96.1509433962264,53,53,53,Nantes,53,France,Labrune,Janine,53,1,Bin 4,Bin 2,Bin 1,4,4,2,"4, 4, 2"
Land of Toys Inc.,49,33.2857142857142,104.120612244897,6.91836734693877,3348.35591836734,49,1615.4693877551,49,49,102.979591836734,49,49,49,NYC,49,USA,Yu,Kwai,49,199,Bin 4,Bin 2,Bin 3,2,4,2,"2, 4, 2"
Lyon Souveniers,20,34.1999999999999,113.002499999999,4.15,3928.51699999999,20,1244.39999999999,20,20,110.549999999999,20,20,20,Paris,20,France,Da Cunha,Daniel,20,76,Bin 1,Bin 4,Bin 1,4,1,4,"4, 1, 4"
Marseille Mini Autos,25,32.16,92.3972,7.27999999999999,2997.44559999999,25,1673.31999999999,25,25,99.7599999999999,25,25,25,Marseille,25,France,Lebihan,Laurence,25,147,Bin 2,Bin 1,Bin 2,3,2,1,"3, 2, 1"
Marta's Replicas Co.,27,36.1481481481481,107.071851851851,7.25925925925925,3817.79185185185,27,1564.51851851851,27,27,104.259259259259,27,27,27,Cambridge,27,USA,Hernandez,Marta,27,232,Bin 3,Bin 3,Bin 4,1,3,3,"1, 3, 3"
Microscale Inc.,10,38.0999999999999,88.494,4.6,3314.493,10,1856.7,10,10,85.2999999999999,10,10,10,NYC,10,USA,Kuo,Kee,10,211,Bin 1,Bin 2,Bin 3,2,1,2,"2, 1, 2"
Mini Auto Werke,15,35.4666666666666,98.0833333333333,3.46666666666666,3484.25999999999,15,1565.66666666666,15,15,103,15,15,15,Graz,15,Austria,Mendel,Roland,15,83,Bin 1,Bin 2,Bin 2,3,1,2,"3, 1, 2"
Mini Caravy,19,40.9999999999999,99.2699861495844,5.05263157894736,4233.60421052631,19,1527.84210526315,19,19,101.105263157894,19,19,19,Strasbourg,19,France,Citeaux,Frederique,19,48,Bin 1,Bin 4,Bin 1,4,1,4,"4, 1, 4"
Mini Classics,26,35.7307692307692,95.0303846153846,7.34615384615384,3290.615,26,1990.03846153846,26,26,94.8076923076923,26,26,26,White Plains,26,USA,Frick,Steve,26,230,Bin 2,Bin 1,Bin 3,2,2,1,"2, 2, 1"
Mini Creations Ltd.,35,32.5714285714285,95.1291428571428,7.94285714285714,3112.88942857142,35,2328.77142857142,35,35,98.0571428571428,35,35,35,New Bedford,35,USA,Tam,Wing C,35,146,Bin 4,Bin 1,Bin 2,3,4,1,"3, 4, 1"
Mini Gifts Distributors Ltd.,180,35.3666666666666,102.696335648148,7.16666666666666,3638.10033333333,180,1655.56111111111,180,180,102.505555555555,180,180,180,San Rafael,180,USA,Nelson,Valarie,180,3,Bin 4,Bin 3,Bin 1,4,4,3,"4, 4, 3"
Motor Mint Distributors Inc.,23,31.7391304347826,113.40652173913,5.7391304347826,3638.35478260869,23,1584.95652173913,23,23,112,23,23,23,Philadelphia,23,USA,Hernandez,Rosa,23,197,Bin 2,Bin 3,Bin 3,2,2,3,"2, 2, 3"
Muscle Machine Inc,48,36.9791666666666,111.150833333333,7.27083333333333,4119.51958333333,48,1743.47916666666,48,48,108.395833333333,48,48,48,NYC,48,USA,Young,Jeff,48,183,Bin 4,Bin 4,Bin 2,3,4,4,"3, 4, 4"
"Norway Gifts By Mail, Co.",24,32.7916666666666,97.95375,6.54166666666666,3301.00958333333,24,2013.87499999999,24,24,97.25,24,24,24,Oslo,24,Norway,Klaeboe,Jan,24,285,Bin 2,Bin 1,Bin 4,1,2,1,"1, 2, 1"
Online Diecast Creations Co.,34,36.7058823529411,108.302058823529,7.38235294117647,3873.09705882353,34,1427.44117647058,34,34,105,34,34,34,Nashua,34,USA,Young,Valarie,34,210,Bin 4,Bin 4,Bin 3,2,4,4,"2, 4, 4"
Online Mini Collectables,15,38.1333333333333,94.6806666666666,7.06666666666666,3813.19733333333,15,1676.73333333333,15,15,100.533333333333,15,15,15,Brickhaven,15,USA,Barajas,Miguel,15,265,Bin 1,Bin 3,Bin 4,1,1,3,"1, 1, 3"
Osaka Souveniers Co.,20,34.6,99.9139999999999,7.94999999999999,3380.25349999999,20,2029.14999999999,20,20,101.65,20,20,20,Osaka,20,Japan,Kentary,Mory,20,415,Bin 1,Bin 2,Bin 4,1,1,2,"1, 1, 2"
"Oulu Toy Supplies, Inc.",32,34.6874999999999,95.11875,6.96875,3261.57437499999,32,1936.46874999999,32,32,95.5312499999999,32,32,32,Oulu,32,Finland,Koskitalo,Pirkko,32,122,Bin 3,Bin 1,Bin 2,3,3,1,"3, 3, 1"
Petit Auto,25,31.84,93.4943999999999,6,2998.9008,25,1848.84,25,25,96.5599999999999,25,25,25,Bruxelles,25,Belgium,Dewey,Catherine,25,2,Bin 2,Bin 1,Bin 1,4,2,1,"4, 2, 1"
Quebec Home Shopping Network,22,32.590909090909,104.514999999999,4.54545454545454,3372.94499999999,22,1702.31818181818,22,22,107.181818181818,22,22,22,Montreal,22,Canada,Fresnisre,Jean,22,31,Bin 2,Bin 2,Bin 1,4,2,2,"4, 2, 2"
Reims Collectables,41,34.9512195121951,94.3429268292682,6.17073170731707,3293.73024390243,41,1840.60975609756,41,41,96.5853658536584,41,41,41,Reims,41,France,Henriot,Paul,41,63,Bin 4,Bin 1,Bin 1,4,4,1,"4, 4, 1"
Rovelli Gifts,48,34.375,85.6772916666666,8.58333333333333,2874.07749999999,48,2283.33333333333,48,48,85.7499999999999,48,48,48,Bergamo,48,Italy,Rovelli,Giovanni,48,202,Bin 4,Bin 1,Bin 3,2,4,1,"2, 4, 1"
"Royal Canadian Collectables, Ltd.",26,33.576923076923,86.4488461538461,7.03846153846153,2870.57115384615,26,2366.73076923076,26,26,86.2307692307692,26,26,26,Tsawassen,26,Canada,Lincoln,Elizabeth,26,286,Bin 2,Bin 1,Bin 4,1,2,1,"1, 2, 1"
Royale Belge,8,34.75,115.195,1.74999999999999,4180.0125,8,1498,8,8,115.125,8,8,8,Charleroi,8,Belgium,Cartrain,Pascale,8,143,Bin 1,Bin 4,Bin 2,3,1,4,"3, 1, 4"
Salzburg Collectables,40,36.05,101.39775,6.7,3744.96574999999,40,1579.49999999999,40,40,102.925,40,40,40,Salzburg,40,Austria,Pipps,Georg,40,15,Bin 4,Bin 3,Bin 1,4,4,3,"4, 4, 3"
"Saveley & Henriot, Co.",41,34.8292682926829,100.548048780487,7.46341463414634,3484.73780487804,41,1847.73170731707,41,41,102.024390243902,41,41,41,Lyon,41,France,Saveley,Mary,41,457,Bin 4,Bin 2,Bin 4,1,4,2,"1, 4, 2"
Scandinavian Gift Ideas,38,35.7631578947368,97.5973684210526,7.28947368421052,3533.14026315789,38,1689.81578947368,38,38,99.1842105263157,38,38,38,Boras,38,Sweden,Larsson,Maria,38,90,Bin 4,Bin 2,Bin 2,3,4,2,"3, 4, 2"
Signal Collectibles Ltd.,15,34.2666666666666,95.396,5.06666666666666,3347.90066666666,15,1692.53333333333,15,15,90.9333333333333,15,15,15,Brisbane,15,USA,Taylor,Sue,15,477,Bin 1,Bin 2,Bin 4,1,1,2,"1, 1, 2"
Signal Gift Stores,29,32.0344827586207,91.4289655172413,5.75862068965517,2853.48551724137,29,1770.41379310344,29,29,96.7241379310344,29,29,29,Las Vegas,29,USA,King,Sue,29,185,Bin 3,Bin 1,Bin 2,3,3,1,"3, 3, 1"
Souveniers And Things Co.,46,34.8043478260869,95.1893478260869,6.47826086956521,3295.02130434782,46,1681.84782608695,46,46,93.0869565217391,46,46,46,Chatswood,46,Australia,Huxley,Adrian,46,3,Bin 4,Bin 1,Bin 1,4,4,1,"4, 4, 1"
"Stylish Desk Decors, Co.",26,36.0384615384615,96.9934615384615,5.3076923076923,3415.55769230769,26,2156.46153846153,26,26,96.0384615384615,26,26,26,London,26,UK,Brown,Ann,26,181,Bin 2,Bin 2,Bin 2,3,2,2,"3, 2, 2"
Suominen Souveniers,30,34.3666666666666,110.404999999999,6.2,3798.70499999999,30,1560.86666666666,30,30,109.6,30,30,30,Espoo,30,Finland,Suominen,Kalle,30,147,Bin 3,Bin 3,Bin 2,3,3,3,"3, 3, 3"
Super Scale Inc.,17,37.4117647058823,128.452352941176,4.76470588235294,4674.82764705882,17,1583.94117647058,17,17,123.470588235294,17,17,17,New Haven,17,USA,Murphy,Leslie,17,394,Bin 1,Bin 4,Bin 4,1,1,4,"1, 1, 4"
Technics Stores Inc.,34,34.6764705882353,104.914117647058,7.29411764705882,3552.44323529411,34,1918.44117647058,34,34,102.294117647058,34,34,34,Burlingame,34,USA,Hirano,Juri,34,148,Bin 4,Bin 3,Bin 2,3,4,3,"3, 4, 3"
Tekni Collectables Inc.,21,43.1428571428571,93.5709523809523,5,3963.24714285714,21,1873.99999999999,21,21,93.2857142857142,21,21,21,Newark,21,USA,Brown,William,21,59,Bin 2,Bin 4,Bin 1,4,2,4,"4, 2, 4"
The Sharp Gifts Warehouse,40,41.4,93.3757499999999,6.075,4000.25675,40,1756.375,40,40,92.7749999999999,40,40,40,San Jose,40,USA,Frick,Sue,40,40,Bin 4,Bin 4,Bin 1,4,4,4,"4, 4, 4"
"Tokyo Collectables, Ltd",32,35.9374999999999,101.1828125,6.34375,3767.585625,32,1660.90624999999,32,32,99.2812499999999,32,32,32,Minato-ku,32,Japan,Shimamura,Akiko,32,40,Bin 3,Bin 3,Bin 1,4,3,3,"4, 3, 3"
"Toms Spezialitten, Ltd",26,36,109.363076923076,7.61538461538461,3857.94538461538,26,1400.46153846153,26,26,107.499999999999,26,26,26,Koln,26,Germany,Pfalzheim,Henriette,26,229,Bin 2,Bin 4,Bin 3,2,2,4,"2, 2, 4"
"Toys of Finland, Co.",30,35.0333333333333,105.752333333333,5.93333333333333,3708.346,30,1745.36666666666,30,30,100.5,30,30,30,Helsinki,30,Finland,Karttunen,Matti,30,113,Bin 3,Bin 3,Bin 2,3,3,3,"3, 3, 3"
Toys4GrownUps.com,30,35.3333333333333,97.2246666666666,7.6,3485.39866666666,30,1634.63333333333,30,30,97.2666666666666,30,30,30,Pasadena,30,USA,Young,Julie,30,141,Bin 3,Bin 2,Bin 2,3,3,2,"3, 3, 2"
"UK Collectables, Ltd.",29,36.0689655172413,108.535517241379,5.89655172413793,4069.25068965517,29,1404.51724137931,29,29,110.275862068965,29,29,29,Liverpool,29,UK,Devon,Elizabeth,29,54,Bin 3,Bin 4,Bin 1,4,3,4,"4, 3, 4"
"Vida Sport, Ltd",31,34.774193548387,112.075161290322,8.32258064516129,3797.21161290322,31,1362.93548387096,31,31,115.58064516129,31,31,31,Gensve,31,Switzerland,Holz,Michael,31,276,Bin 3,Bin 3,Bin 4,1,3,3,"1, 3, 3"
Vitachrome Inc.,25,31.4799999999999,106.178799999999,6.11999999999999,3521.65039999999,25,1591.87999999999,25,25,102.08,25,25,25,NYC,25,USA,Frick,Michael,25,209,Bin 2,Bin 2,Bin 3,2,2,2,"2, 2, 2"
"Volvo Model Replicas, Co",19,34.0526315789473,119.288947368421,3.1578947368421,3987.09894736842,19,1319.78947368421,19,19,116,19,19,19,Lule,19,Sweden,Berglund,Christina,19,195,Bin 1,Bin 4,Bin 3,2,1,4,"2, 1, 4"
West Coast Collectables Co.,13,39.3076923076923,88.3076923076923,4.69230769230769,3544.9723076923,13,1714.76923076923,13,13,93.2307692307692,13,13,13,Burbank,13,USA,Thompson,Steve,13,489,Bin 1,Bin 3,Bin 4,1,1,3,"1, 1, 3"
giftsbymail.co.uk,26,34.4230769230769,88.9788461538461,7.96153846153846,3009.26307692307,26,2180.80769230769,26,26,89.4999999999999,26,26,26,Cowes,26,UK,Bennett,Helen,26,213,Bin 2,Bin 1,Bin 3,2,2,1,"2, 2, 1"
